title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 13 256GB Starlight (MLQ73HU/A),34999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_256gb_white.html,True,iPhone 13 ,256GB,Starlight,MLQ73HU/A
iPhone 14 Plus 256GB Purple,42999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_mini_256gb_pink.html,True,iPhone 14 Plus,256GB,Purple,
iPhone 14 128GB Midnight,34999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_128gb_midnight.html,True,iPhone 14 ,128GB,Midnight,
iPhone 15 Pro Max 512GB Blue Titanium (MU7F3RX/A),73499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_max_512gb_gold.html,True,iPhone 15 Pro Max,512GB,Blue Titanium,MU7F3RX/A
iPhone 14 Pro 1TB Gold (APPLE_NEW2022_031),72499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_1tb_gold.html,True,iPhone 14 Pro,1TB,Gold,
iPhone 13 Mini 512GB Blue (MLKF3HU/A),38999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_mini_64gb_blue.html,True,iPhone 13 Mini,512GB,Blue,MLKF3HU/A
iPhone 13 512GB Pink (MLQE3HU/A),39999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_64gb_purple.html,True,iPhone 13 ,512GB,Pink,MLQE3HU/A
iPhone 14 Pro 1TB Deep Purple,72499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_1tb_sierra_blue.html,True,iPhone 14 Pro,1TB,Deep Purple,
iPhone 11 64GB White (MHDC3FS/A),20999.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-11-64gb-whiteno-adapter-.html,True,iPhone 11 ,64GB,White,MHDC3FS/A
iPhone 12 64GB Black (MGJ53FS/A),22999.0,UAH,https://www.foxtrot.com.ua/uk/shop/mobilnye_telefony_apple_iphone-12-64gb-black.html,True,iPhone 12 ,64GB,Black,MGJ53FS/A
