title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 14 Pro Max 256GB Gold (MQ9W3RX/A),57499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-14-pro-max-256gb-gold/p71419411/,True,iPhone 14 Pro Max,256GB,Gold,MQ9W3RX/A
iPhone 14 Plus 128GB Midnight (MQ4X3RX/A),41999.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-14-plus-128gb-midnight/p71419374/,True,iPhone 14 Plus,128GB,Midnight,MQ4X3RX/A
iPhone 14 Pro Max 512GB Space Black (MQAF3RX/A),,,https://eldorado.ua/uk/smartfon-apple-iphone-14-pro-max-512gb-space-black/p71419413/,False,iPhone 14 Pro Max,512GB,Space Black,MQAF3RX/A
iPhone 15 Plus 128GB Pink (MU103RX/A),47499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-plus-128gb-pink-mu103rx/p71465463/,True,iPhone 15 Plus,128GB,Pink,MU103RX/A
iPhone 14 Plus 128GB Purple (MQ503RX/A),41999.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-14-plus-128gb-purple/p71419375/,True,iPhone 14 Plus,128GB,Purple,MQ503RX/A
iPhone 14 Pro Max 512GB Silver (MQAH3RX/A),,,https://eldorado.ua/uk/smartfon-apple-iphone-14-pro-max-512gb-silver/p71419414/,False,iPhone 14 Pro Max,512GB,Silver,MQAH3RX/A
iPhone 15 Plus 128GB Yellow (MU123RX/A),47499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-plus-128gb-yellow-mu123rx/p71465464/,True,iPhone 15 Plus,128GB,Yellow,MU123RX/A
iPhone 15 Plus 128GB Green (MU173RX/A),47499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-plus-128gb-green-mu173rx/p71465466/,True,iPhone 15 Plus,128GB,Green,MU173RX/A
iPhone 14 Plus 128GB Blue (MQ523RX/A),41999.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-14-plus-128gb-blue/p71419378/,True,iPhone 14 Plus,128GB,Blue,MQ523RX/A
iPhone 14 Pro Max 1TB Gold (MQC43RX/A),,,https://eldorado.ua/uk/smartfon-apple-iphone-14-pro-max-1tb-gold/p71419419/,False,iPhone 14 Pro Max,1TB,Gold,MQC43RX/A
iPhone 15 Plus 256GB Black (MU183RX/A),52499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-15-plus-256gb-black-mu183rx/p71465467/,True,iPhone 15 Plus,256GB,Black,MU183RX/A
iPhone 14 Plus 512GB Blue (MQ5G3RX/A),59499.0,UAH,https://eldorado.ua/uk/smartfon-apple-iphone-14-plus-512gb-blue/p71419388/,True,iPhone 14 Plus,512GB,Blue,MQ5G3RX/A
iPhone 14 Pro Max 1TB Deep Purple (MQC53RX/A),,,https://eldorado.ua/uk/uk/smartfon-apple-iphone-14-pro-max-1tb-deep-purple/p71419420/,False,iPhone 14 Pro Max,1TB,Deep Purple,MQC53RX/A
