title,current_price,currency,link,availability,model,memory,color,model_number
iPhone 14 Plus 512GB Blue,48999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_plus_512gb_blue.html,True,iPhone 14 Plus,512GB,Blue,
iPhone 15 Pro 1TB Natural Titanium (MTVF3RX/A),78499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_1tb_deep_purple.html,True,iPhone 15 Pro,1TB,Natural Titanium,MTVF3RX/A
iPhone 13 128GB (PRODUCT) RED (MLPJ3HU/A),31999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_128gb_red.html,True,iPhone 13 ,128GB,(PRODUCT) RED,MLPJ3HU/A
iPhone 15 Plus 256GB Yellow (MU1D3RX/A),52499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_plus_256gb_yellow.html,True,iPhone 15 Plus,256GB,Yellow,MU1D3RX/A
iPhone 15 128GB Yellow (MTP23RX/A),42499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_128gb_yellow.html,True,iPhone 15 ,128GB,Yellow,MTP23RX/A
iPhone 15 Plus 128GB Yellow (MU123RX/A),47499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_plus_128gb_yellow.html,True,iPhone 15 Plus,128GB,Yellow,MU123RX/A
iPhone 13 Mini 512GB Blue (MLKF3HU/A),38999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_mini_64gb_blue.html,True,iPhone 13 Mini,512GB,Blue,MLKF3HU/A
iPhone 13 Mini 256GB (PRODUCT) RED (MLK83HU/A),33999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_mini_256gb_red.html,True,iPhone 13 Mini,256GB,(PRODUCT) RED,MLK83HU/A
iPhone 14 128 Gb Yellow,36999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_128gb_yellow.html,True,iPhone 14 ,128 Gb,Yellow,
iPhone 13 512 Gb Green (MNGM3HU/A),39999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_13_512gb_green.html,True,iPhone 13 ,512 Gb,Green,MNGM3HU/A
iPhone 14 Pro Max 512GB Silver,67499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_pro_max_512gb_silver.html,True,iPhone 14 Pro Max,512GB,Silver,
iPhone SE 2022 64GB (PRODUCT) RED A2783,21999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_se_64gb_product_red_model_a2783.html,True,iPhone SE ,64GB,(PRODUCT) RED,
iPhone 15 Pro Max 256GB Natural Titanium (MU793RX/A),63499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_max_256gb_deep_purple.html,True,iPhone 15 Pro Max,256GB,Natural Titanium,MU793RX/A
iPhone 15 512GB Black (MTPC3RX/A),57499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_512gb_midnight.html,True,iPhone 15 ,512GB,Black,MTPC3RX/A
iPhone 14 Plus 128 Gb Yellow,41999.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_14_plus_128gb_yellow.html,True,iPhone 14 Plus,128 Gb,Yellow,
iPhone 15 Pro Max 512GB Natural Titanium (MU7E3RX/A),73499.0,UAH,https://www.foxtrot.com.ua/uk/shop/smartfoniy_i_mobilniye_telefoniy_apple_iphone_15_pro_max_512gb_deep_purple.html,True,iPhone 15 Pro Max,512GB,Natural Titanium,MU7E3RX/A
